Run_ID,Accuracy,Duration,LR,Flex,Lat_Str,Thresh,Kerr,Sys_E

0,86.07%,89.3s,0.02500,0.1250,0.2000,0.35,0.50,10.0
1,83.00%,101.0s,0.00233,0.1352,0.4922,0.39,0.57,12.7
2,76.29%,96.9s,0.00550,0.1954,0.4892,0.45,0.19,46.6
3,79.75%,96.2s,0.00859,0.2879,0.4930,0.24,7.93,48.5
4,74.44%,93.5s,0.00110,0.0606,0.3592,0.36,4.30,42.1
5,80.76%,93.0s,0.04666,0.2798,0.2814,0.28,0.11,28.7
6,79.04%,97.5s,0.02076,0.1224,0.4534,0.22,3.34,5.6
7,84.05%,83.1s,0.01099,0.0574,0.1734,0.48,4.46,22.3
8,79.46%,89.9s,0.00237,0.0767,0.2409,0.43,0.44,19.7
9,80.95%,94.4s,0.00488,0.2750,0.4999,0.35,0.70,49.6
10,76.58%,100.0s,0.03832,0.2165,0.2187,0.23,4.72,30.8
11,81.37%,92.1s,0.00508,0.1654,0.2886,0.42,1.94,34.3
12,81.82%,102.9s,0.02926,0.1243,0.4690,0.27,0.43,38.3
13,78.54%,137.5s,0.00137,0.2695,0.3387,0.35,0.19,22.1
14,84.24%,117.5s,0.00253,0.0649,0.4431,0.45,9.61,9.4
15,74.04%,135.0s,0.00106,0.1257,0.1694,0.38,2.40,42.1
16,84.04%,120.1s,0.01534,0.0638,0.3823,0.48,0.85,41.9
17,80.10%,122.7s,0.00665,0.2186,0.2567,0.49,1.84,36.0
18,81.36%,124.5s,0.00989,0.0709,0.4748,0.45,0.43,49.2
19,78.89%,137.4s,0.00172,0.2849,0.1575,0.33,0.28,39.1
20,83.81%,134.9s,0.00882,0.1976,0.3177,0.35,0.10,25.9
21,81.49%,127.6s,0.00193,0.0587,0.2204,0.37,0.52,17.3
22,79.98%,126.1s,0.00273,0.2484,0.0628,0.49,0.39,18.7
23,82.49%,138.5s,0.01863,0.2286,0.4973,0.28,0.18,29.5
24,84.92%,123.4s,0.01122,0.0589,0.3255,0.42,1.01,32.6
25,82.87%,111.3s,0.00559,0.1583,0.0759,0.30,8.67,35.5
26,84.22%,106.6s,0.00214,0.1572,0.3510,0.43,7.59,15.6
27,81.26%,95.3s,0.00130,0.2332,0.3734,0.27,0.30,12.2
28,76.77%,92.5s,0.00482,0.1975,0.2536,0.47,0.10,28.1
29,74.58%,98.1s,0.06572,0.2885,0.4842,0.26,4.44,40.7
30,84.31%,95.1s,0.03282,0.1523,0.3904,0.34,0.21,40.8
31,77.01%,95.7s,0.02191,0.0520,0.3639,0.20,0.11,17.0
32,74.22%,85.6s,0.00323,0.1128,0.3550,0.50,0.60,38.5
33,86.14%,89.4s,0.00157,0.1461,0.3444,0.44,0.12,6.3
34,83.63%,88.0s,0.00965,0.0876,0.1395,0.40,5.80,29.1
35,79.77%,95.8s,0.00146,0.0881,0.2529,0.31,0.26,21.0
36,80.12%,96.1s,0.01272,0.2390,0.4087,0.22,0.10,22.7
37,82.32%,96.3s,0.00435,0.0818,0.1292,0.24,9.72,18.7
38,83.25%,95.1s,0.00636,0.2582,0.2386,0.26,0.89,15.8
39,79.91%,99.0s,0.00202,0.1276,0.1476,0.26,0.28,36.6
40,69.31%,98.8s,0.06346,0.2691,0.3954,0.22,0.69,32.2
41,81.27%,99.1s,0.00334,0.2308,0.1989,0.29,0.43,42.3
42,83.08%,89.4s,0.03818,0.0704,0.0297,0.30,7.73,19.4
43,78.73%,99.8s,0.01849,0.1583,0.2189,0.21,4.29,34.7
44,79.49%,99.9s,0.01444,0.1895,0.0038,0.21,0.24,44.8
45,84.40%,91.2s,0.04635,0.2572,0.2276,0.34,0.16,32.0
46,85.15%,93.1s,0.01606,0.2997,0.0747,0.40,0.96,22.5
47,82.64%,83.2s,0.00142,0.0745,0.3164,0.47,1.77,5.7
48,84.31%,93.0s,0.00922,0.1003,0.3886,0.36,0.62,23.8
49,86.95%,89.5s,0.03561,0.1901,0.2654,0.43,6.37,30.9
50,79.58%,100.1s,0.01255,0.2854,0.3915,0.22,1.82,33.4
51,84.42%,96.4s,0.01448,0.2782,0.2261,0.33,3.00,47.3
52,81.07%,95.7s,0.00215,0.1841,0.4746,0.28,0.11,15.5
